Company,Level,FileName,DocumentType,PublicationYear,WordCount,URL
Microsoft,Level_2_Meso,Microsoft_Work_Trend_Report_Without_Appendix.pdf,Report,2024,5639,https://marketingassets.microsoft.com/gdc/gdcAev8aq/original
Anthropic,Level_2_Meso,Anthropic and Teach For All launch global AI training initiative for educators \ Anthropic.pdf,Blog Post,2026,855,https://www.anthropic.com/news/anthropic-teach-for-all
Anthropic,Level_2_Meso,Australian government and Anthropic sign MOU for AI safety and research \ Anthropic.pdf,Blog Post,2026,865,https://www.anthropic.com/news/australia-MOU
Anthropic,Level_2_Meso,Claude is a space to think | Anthropic \ Anthropic.pdf,Blog Post,2026,1217,https://www.anthropic.com/news/claude-is-a-space-to-think
Anthropic,Level_2_Meso,How scientists are using Claude to accelerate research and discovery \ Anthropic.pdf,Blog Post,2026,2268,https://www.anthropic.com/news/accelerating-scientific-research
Anthropic,Level_2_Meso,Productivity-Report_03 (1).pdf,Report,2025,5080,https://www-cdn.anthropic.com/e5645986a7ce8fbcc48fa6d2fc67753c87642c30.pdf
Anthropic,Level_2_Meso,Launching the Anthropic Economic Futures Programme in the UK and Europe \ Anthropic.pdf,Blog Post,2025,833,https://www.anthropic.com/news/economic-futures-uk-europe
Anthropic,Level_2_Meso,Anthropic and Iceland announce one of the world’s first national AI education pilots \ Anthropic.pdf,Blog Post,2025,746,https://www.anthropic.com/news/anthropic-and-iceland-announce-one-of-the-world-s-first-national-ai-education-pilots
Anthropic,Level_2_Meso,Economic-Index_v4_2026.01.14_g.pdf,Document,2026,14178,https://www-cdn.anthropic.com/096d94c1a91c6480806d8f24b2344c7e2a4bc666.pdf
Anthropic,Level_2_Meso,Sydney will become Anthropic’s fourth office in Asia-Pacific \ Anthropic.pdf,Blog Post,2026,444,https://www.anthropic.com/news/sydney-fourth-office-asia-pacific
Anthropic,Level_2_Meso,Anthropic partners with the UK Government to bring AI assistance to GOV.UK services \ Anthropic.pdf,Blog Post,2026,766,https://www.anthropic.com/news/gov-UK-partnership
Anthropic,Level_2_Meso,How AI Is Transforming Work at Anthropic \ Anthropic.pdf,Document,2025,6846,https://www.anthropic.com/research/how-ai-is-transforming-work-at-anthropic
Anthropic,Level_2_Meso,Anthropic partners with Rwandan Government and ALX to bring AI education to hundreds of thousands of learners across Africa \ Anthropic.pdf,Blog Post,2025,970,https://www.anthropic.com/news/rwandan-government-partnership-ai-education
Anthropic,Level_2_Meso,Anthropic opens Bengaluru office and announces new partnerships across India \ Anthropic.pdf,Blog Post,2026,1215,https://www.anthropic.com/news/bengaluru-office-partnerships-across-india
Anthropic,Level_2_Meso,2601.20245v2.pdf,Research Paper,2026,2617,https://arxiv.org/pdf/2601.20245
Anthropic,Level_2_Meso,Anthropic and the Government of Rwanda sign MOU for AI in health and education \ Anthropic.pdf,Blog Post,2026,473,https://www.anthropic.com/news/anthropic-rwanda-mou
Anthropic,Level_2_Meso,Anthropic partners with CodePath to bring Claude to the US’s largest collegiate computer science program \ Anthropic.pdf,Blog Post,2026,646,https://www.anthropic.com/news/anthropic-codepath-partnership
Anthropic,Level_2_Meso,Anthropic is donating $20 million to Public First Action \ Anthropic.pdf,Blog Post,2026,672,https://www.anthropic.com/news/donate-public-first-action
Anthropic,Level_2_Meso,Anthropic invests $100 million into the Claude Partner Network \ Anthropic.pdf,Blog Post,2026,857,https://www.anthropic.com/news/claude-partner-network
Anthropic,Level_2_Meso,A statement from Dario Amodei on Anthropic's commitment to American AI leadership \ Anthropic.pdf,Blog Post,2025,1332,https://www.anthropic.com/news/statement-dario-amodei-american-ai-leadership
Anthropic,Level_2_Meso,Anthropic joins White House pledge for AI education \ Anthropic.pdf,Blog Post,2025,752,https://www.anthropic.com/news/anthropic-signs-pledge-to-americas-youth-investing-in-ai-education
Anthropic,Level_2_Meso,Nowcasting_Econ-Report-v16.pdf,Report,2026,4457,https://cdn.sanity.io/files/4zrzovbb/website/2b5bbaf2c1eb81dbf6e6fb813c1a24e35a64d376.pdf
Anthropic,Level_2_Meso,Detecting and preventing distillation attacks \ Anthropic.pdf,Blog Post,2026,1683,https://www.anthropic.com/news/detecting-and-preventing-distillation-attacks
